"Erika Alexander—Philadelphia
"Randolph Cohen—Philadelphia
"Robert Costanza—Pittsburgh
"Leda Cosmides—Philadelphia
"Albert Ellis—Pittsburgh
"Joshua Fishman—Philadelphia
"W. Nelson Francis—Philadelphia
"Harry Frankfurt—Langhorne
"Walter Freeman—Philadelphia
"Howard Gardner—Scranton
"Henry George—Philadelphia
"Douglas Holtz-Eakin—Pittsburgh
"Noel Ignatiev—Philadelphia
"Jane Jacobs—Scranton
"Jacob Kantor—Harrisburg
"William Keen—Philadelphia
"Sally Kohn—Allentown
"Donald N. Levine—New Castle
"Edward B. Lewis—Wilkes-Barre
"John McWhorter—Philadelphia
"Margaret Mead—Philadelphia / Doylestown
"Robert K. Merton—Philadelphia
"Albert Jay Nock—Scranton
"Hilary Putnam—Philadelphia
"Robert Reich—Scranton
"David Riesman—Philadelphia
"Clinton Rossiter—Philadelphia
"Michael Rubin—Philadelphia
"B. F. Skinner—Susquehanna
"Jude Wanniski—Pottsville
"Walter Williams—Philadelphia
"Alan Wolfe—Philadelphia
"Michael Yates—Pittsburgh
"Robert Yerkes—Breadysville, Bucks County
"List of people from Erie, Pennsylvania
"List of people from Lancaster County, Pennsylvania
"List of people from Philadelphia
"List of people from the Pittsburgh metropolitan area
"List of people from York, Pennsylvania
"Index
"Delegations
"Government
"History
"Geography
"Geology
"Law
"State parks
"Symbols
"Tourist attractions
"Agriculture
"Culture
"Crime
"Demographics
"Economy
"Education
"Gambling
"Politics
"Sports
"Altoona
"Baltimore-Washington
"Erie
"Harrisburg–Carlisle
"Johnstown
"Lancaster
"Lebanon
"Lehigh Valley
"New York
"Philadelphia
"Pittsburgh
"Reading
"Scranton‑Wilkes-Barre
"State College
"Williamsport
"York-Hanover
"Allentown
"Altoona
"Bethlehem
"Butler
"Chester
"DuBois
"Easton
"Erie
"Greensburg
"Harrisburg
"Hazleton
"Johnstown
"Lancaster
"Lebanon
"McKeesport
"New Castle
"Philadelphia
"Pittsburgh
"Pottsville
"Reading
"Scranton
"Sunbury
"Wilkes-Barre
"Williamsport
"York
"Abington
"Bensalem
"Bethel Park
"Bristol
"Cheltenham
"Cranberry
"Darby
"Falls
"Hampden
"Haverford
"Hempfield
"Lower Macungie
"Lower Makefield
"Lower Merion
"Lower Paxton
"Manheim
"McCandless
"Middletown
"Millcreek Township
"Monroeville
"Mount Lebanon
"Norristown
"Northampton
"North Huntingdon
"Penn Hills
"Radnor
"Ridley
"Ross
"Shaler
"Spring
"State College
"Tredyffrin
"Upper Darby
"Upper Merion
"Warminster
"West Chester
"Whitehall
"York Township
"Allegheny Mountains
"Allegheny National Forest
"Allegheny Plateau
"Atlantic Coastal Plain
"Bald Eagle Valley
"Blue Ridge
"Coal Region
"Cumberland Valley
"Delaware Valley
"Dutch Country
"Eastern
"Endless Mountains
"Great Valley
"Happy Valley
"Laurel Highlands
"Lehigh Valley
"Mahoning Valley
"Main Line
"Moshannon Valley
"Nittany Valley
"Northeastern
"Northern Tier
"Northwestern
"North Central
"North Penn Valley
"Ohio Valley
"Oil Region
"Oley Valley
"Pennsylvania Highlands
"Penns Valley
"Philicon Valley
"Piedmont
"Pocono Mountains
"Ridge and Valley
"Saucon Valley
"South Central
"Southeastern
"Southern
"Southwestern
"Susquehanna Valley
"Western
"Wyoming Valley
"Adams
"Allegheny
"Armstrong
"Beaver
"Bedford
"Berks
"Blair
"Bradford
"Bucks
"Butler
"Cambria
"Cameron
"Carbon
"Centre
"Chester
"Clarion
"Clearfield
"Clinton
"Columbia
"Crawford
"Cumberland
"Dauphin
"Delaware
"Elk
"Erie
"Fayette
"Forest
"Franklin
"Fulton
"Greene
"Huntingdon
"Indiana
"Jefferson
"Juniata
"Lackawanna
"Lancaster
"Lawrence
"Lebanon
"Lehigh
"Luzerne
"Lycoming
"McKean
"Mercer
"Mifflin
"Monroe
"Montgomery
"Montour
"Northampton
"Northumberland
"Perry
"Philadelphia
"Pike
"Potter
"Schuylkill
"Snyder
"Somerset
"Sullivan
"Susquehanna
"Tioga
"Union
"Venango
"Warren
"Washington
"Wayne
"Westmoreland
"Wyoming
"York
"Alabama
"Alaska
"Arizona
"Arkansas
"California
"Colorado
"Connecticut
"Delaware
"Florida
"Georgia
"Hawaii
"Idaho
"Illinois
"Indiana
"Iowa
"Kansas
"Kentucky
"Louisiana
"Maine
"Maryland
"Massachusetts
"Michigan
"Minnesota
"Mississippi
"Missouri
"Montana
"Nebraska
"Nevada
"New Hampshire
"New Jersey
"New Mexico
"New York
"North Carolina
"North Dakota
"Ohio
"Oklahoma
"Oregon
"Rhode Island
"South Carolina
"South Dakota
"Tennessee
"Texas
"Utah
"Vermont
"Virginia
"Washington
"West Virginia
"Wisconsin
"Wyoming
"American Samoa
"Guam
"Northern Mariana Islands
"Puerto Rico 
"U.S. Virgin Islands
"Lists of people from PennsylvaniaHidden categories: Use American English from July 2015All Wikipedia articles written in American EnglishUse mdy dates from November 2013Dynamic lists
